Abbrev,Team,Ref,City,Full
SF,49ers ,sfo,San Francisco,San Francisco 49ers 
CHI,Bears ,chi,Chicago,Chicago Bears 
CIN,Bengals ,cin,Cincinnati,Cincinnati Bengals 
BUF,Bills ,buf,Buffalo,Buffalo Bills 
DEN,Broncos ,den,Denver,Denver Broncos 
CLE,Browns ,cle,Clevland,Cleveland Browns 
TB,Buccaneers ,tam,Tamba Bay,Tampa Bay Buccaneers
ARI,Cardinals ,crd,Arizona,Arizona Cardinals
SD,Chargers ,sdg,San Diego,Los Angeles Chargers 
KC,Chiefs ,kan,Kansas City,Kansas City Chiefs 
IND,Colts ,clt,Indianapolis,Indianapolis Colts 
DAL,Cowboys ,dal,Dallas,Dallas Cowboys 
MIA,Dolphins ,mia,Miami,Miami Dolphins 
PHI,Eagles ,phi,Philadelphia,Philadelphia Eagles 
ATL,Falcons ,atl,Atlanta,Atlanta Falcons 
NYG,Giants ,nyg,New York,New York Giants 
JAX,Jaguars ,jax,Jacksonville,Jacksonville Jaguars 
NYJ,Jets ,nyj,New York,New York Jets 
DET,Lions ,det,Detroit,Detroit Lions 
GB,Packers ,gnb,Green Bay,Green Bay Packers 
CAR,Panthers ,car,Carolina,Carolina Panthers 
NE,Patriots ,nwe,New England,New England Patriots 
OAK,Raiders ,rai,Oakland,Oakland Raiders 
STL,Rams ,ram,St. Louis,Los Angeles Rams 
BAL,Ravens ,rav,Baltimore,Baltimore Ravens 
WAS,Redskins ,was,Washington,Washington Redskins 
NO,Saints ,nor,New Orleans,New Orleans Saints 
SEA,Seahawks ,sea,Seattle,Seattle Seahawks 
PIT,Steelers ,pit,Pittsburgh,Pittsburgh Steelers 
HOU,Texans ,htx,Houston,Houston Texans 
TEN,Titans ,oti,Tennessee,Tennessee Titans 
MIN,Vikings ,min,Minnesota,Minnesota Vikings 
